idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,exit_code,result_file,log_file
43,"onnx/NN_rul_full_window_20.onnx","vnnlib/if_then_9levels_w20.vnnlib",1800,1800,1806.51,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0043__NN_rul_full_window_20__if_then_9levels_w20.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0043__NN_rul_full_window_20__if_then_9levels_w20.log"
44,"onnx/NN_rul_full_window_40.onnx","vnnlib/robustness_2perturbations_delta5_epsilon10_w40.vnnlib",60,60,3.47,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0044__NN_rul_full_window_40__robustness_2perturbations_delta5_epsilon10_w40.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0044__NN_rul_full_window_40__robustness_2perturbations_delta5_epsilon10_w40.log"
45,"onnx/NN_rul_full_window_40.onnx","vnnlib/robustness_2perturbations_delta10_epsilon10_w40.vnnlib",90,90,3.49,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0045__NN_rul_full_window_40__robustness_2perturbations_delta10_epsilon10_w40.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0045__NN_rul_full_window_40__robustness_2perturbations_delta10_epsilon10_w40.log"
46,"onnx/NN_rul_full_window_40.onnx","vnnlib/robustness_2perturbations_delta20_epsilon10_w40.vnnlib",120,120,3.50,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0046__NN_rul_full_window_40__robustness_2perturbations_delta20_epsilon10_w40.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0046__NN_rul_full_window_40__robustness_2perturbations_delta20_epsilon10_w40.log"
47,"onnx/NN_rul_full_window_40.onnx","vnnlib/robustness_2perturbations_delta40_epsilon10_w40.vnnlib",300,300,3.47,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0047__NN_rul_full_window_40__robustness_2perturbations_delta40_epsilon10_w40.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0047__NN_rul_full_window_40__robustness_2perturbations_delta40_epsilon10_w40.log"
48,"onnx/NN_rul_full_window_40.onnx","vnnlib/robustness_4perturbations_delta5_epsilon10_w40.vnnlib",120,120,124.99,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0048__NN_rul_full_window_40__robustness_4perturbations_delta5_epsilon10_w40.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0048__NN_rul_full_window_40__robustness_4perturbations_delta5_epsilon10_w40.log"
49,"onnx/NN_rul_full_window_40.onnx","vnnlib/robustness_4perturbations_delta10_epsilon10_w40.vnnlib",120,120,125.01,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0049__NN_rul_full_window_40__robustness_4perturbations_delta10_epsilon10_w40.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0049__NN_rul_full_window_40__robustness_4perturbations_delta10_epsilon10_w40.log"
50,"onnx/NN_rul_full_window_40.onnx","vnnlib/robustness_4perturbations_delta20_epsilon10_w40.vnnlib",120,120,3.52,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0050__NN_rul_full_window_40__robustness_4perturbations_delta20_epsilon10_w40.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0050__NN_rul_full_window_40__robustness_4perturbations_delta20_epsilon10_w40.log"
51,"onnx/NN_rul_full_window_40.onnx","vnnlib/robustness_4perturbations_delta40_epsilon10_w40.vnnlib",300,300,306.51,timeout,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0051__NN_rul_full_window_40__robustness_4perturbations_delta40_epsilon10_w40.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0051__NN_rul_full_window_40__robustness_4perturbations_delta40_epsilon10_w40.log"
52,"onnx/NN_rul_full_window_40.onnx","vnnlib/robustness_8perturbations_delta5_epsilon10_w40.vnnlib",120,120,3.50,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0052__NN_rul_full_window_40__robustness_8perturbations_delta5_epsilon10_w40.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/collins_rul_cnn_2022/0052__NN_rul_full_window_40__robustness_8perturbations_delta5_epsilon10_w40.log"
