idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,exit_code,result_file,log_file
44,"./onnx/14_ieee_ml4acopf.onnx","./vnnlib/14_ieee_prop7.vnnlib",600,600,3.40,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0044__14_ieee_ml4acopf__14_ieee_prop7.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0044__14_ieee_ml4acopf__14_ieee_prop7.log"
45,"./onnx/14_ieee_ml4acopf.onnx","./vnnlib/14_ieee_prop2.vnnlib",600,600,3.40,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0045__14_ieee_ml4acopf__14_ieee_prop2.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0045__14_ieee_ml4acopf__14_ieee_prop2.log"
46,"./onnx/14_ieee_ml4acopf.onnx","./vnnlib/14_ieee_prop8.vnnlib",600,600,3.38,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0046__14_ieee_ml4acopf__14_ieee_prop8.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0046__14_ieee_ml4acopf__14_ieee_prop8.log"
47,"./onnx/14_ieee_ml4acopf.onnx","./vnnlib/14_ieee_prop4.vnnlib",600,600,3.41,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0047__14_ieee_ml4acopf__14_ieee_prop4.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0047__14_ieee_ml4acopf__14_ieee_prop4.log"
48,"./onnx/14_ieee_ml4acopf.onnx","./vnnlib/14_ieee_prop6.vnnlib",600,600,3.39,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0048__14_ieee_ml4acopf__14_ieee_prop6.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0048__14_ieee_ml4acopf__14_ieee_prop6.log"
49,"./onnx/14_ieee_ml4acopf.onnx","./vnnlib/14_ieee_prop12.vnnlib",600,600,3.39,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0049__14_ieee_ml4acopf__14_ieee_prop12.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0049__14_ieee_ml4acopf__14_ieee_prop12.log"
50,"./onnx/14_ieee_ml4acopf.onnx","./vnnlib/14_ieee_prop13.vnnlib",600,600,3.50,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0050__14_ieee_ml4acopf__14_ieee_prop13.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0050__14_ieee_ml4acopf__14_ieee_prop13.log"
51,"./onnx/14_ieee_ml4acopf.onnx","./vnnlib/14_ieee_prop11.vnnlib",600,600,3.41,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0051__14_ieee_ml4acopf__14_ieee_prop11.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0051__14_ieee_ml4acopf__14_ieee_prop11.log"
52,"./onnx/14_ieee_ml4acopf.onnx","./vnnlib/14_ieee_prop1.vnnlib",600,600,3.41,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0052__14_ieee_ml4acopf__14_ieee_prop1.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0052__14_ieee_ml4acopf__14_ieee_prop1.log"
53,"./onnx/14_ieee_ml4acopf.onnx","./vnnlib/14_ieee_prop3.vnnlib",600,600,3.74,unsat,0,"/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0053__14_ieee_ml4acopf__14_ieee_prop3.result","/data1/Kane/ACT/audit_results/abcrown_nopgd_20260525/ml4acopf_2024/0053__14_ieee_ml4acopf__14_ieee_prop3.log"
