idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,result_file,log_file
63,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_2896.vnnlib",100,100,0.34,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0063__pgd_2_3_16__pgd_2_3_16_2896.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0063__pgd_2_3_16__pgd_2_3_16_2896.log"
64,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_6088.vnnlib",100,100,0.34,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0064__pgd_2_3_16__pgd_2_3_16_6088.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0064__pgd_2_3_16__pgd_2_3_16_6088.log"
65,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_7065.vnnlib",100,100,0.34,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0065__pgd_2_3_16__pgd_2_3_16_7065.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0065__pgd_2_3_16__pgd_2_3_16_7065.log"
66,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_2760.vnnlib",100,100,0.33,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0066__pgd_2_3_16__pgd_2_3_16_2760.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0066__pgd_2_3_16__pgd_2_3_16_2760.log"
67,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_9016.vnnlib",100,100,0.36,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0067__pgd_2_3_16__pgd_2_3_16_9016.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0067__pgd_2_3_16__pgd_2_3_16_9016.log"
68,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_3727.vnnlib",100,100,0.33,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0068__pgd_2_3_16__pgd_2_3_16_3727.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0068__pgd_2_3_16__pgd_2_3_16_3727.log"
69,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_9276.vnnlib",100,100,0.33,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0069__pgd_2_3_16__pgd_2_3_16_9276.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0069__pgd_2_3_16__pgd_2_3_16_9276.log"
70,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_4567.vnnlib",100,100,0.34,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0070__pgd_2_3_16__pgd_2_3_16_4567.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0070__pgd_2_3_16__pgd_2_3_16_4567.log"
71,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_7724.vnnlib",100,100,0.33,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0071__pgd_2_3_16__pgd_2_3_16_7724.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0071__pgd_2_3_16__pgd_2_3_16_7724.log"
72,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_1559.vnnlib",100,100,0.33,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0072__pgd_2_3_16__pgd_2_3_16_1559.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0072__pgd_2_3_16__pgd_2_3_16_1559.log"
73,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_4350.vnnlib",100,100,0.36,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0073__pgd_2_3_16__pgd_2_3_16_4350.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0073__pgd_2_3_16__pgd_2_3_16_4350.log"
74,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_4049.vnnlib",100,100,0.35,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0074__pgd_2_3_16__pgd_2_3_16_4049.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0074__pgd_2_3_16__pgd_2_3_16_4049.log"
75,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_1792.vnnlib",100,100,0.36,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0075__pgd_2_3_16__pgd_2_3_16_1792.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0075__pgd_2_3_16__pgd_2_3_16_1792.log"
76,"onnx/pgd_2_3_16.onnx","vnnlib/pgd_2_3_16_6461.vnnlib",100,100,0.39,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0076__pgd_2_3_16__pgd_2_3_16_6461.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/vit_2023/0076__pgd_2_3_16__pgd_2_3_16_6461.log"
