idx,onnx,vnnlib,csv_timeout,used_timeout,wall_sec,verdict,result_file,log_file
49,"onnx/NN_rul_full_window_40.onnx","vnnlib/robustness_4perturbations_delta10_epsilon10_w40.vnnlib",120,120,3.31,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0049__NN_rul_full_window_40__robustness_4perturbations_delta10_epsilon10_w40.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0049__NN_rul_full_window_40__robustness_4perturbations_delta10_epsilon10_w40.log"
50,"onnx/NN_rul_full_window_40.onnx","vnnlib/robustness_4perturbations_delta20_epsilon10_w40.vnnlib",120,120,3.15,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0050__NN_rul_full_window_40__robustness_4perturbations_delta20_epsilon10_w40.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0050__NN_rul_full_window_40__robustness_4perturbations_delta20_epsilon10_w40.log"
51,"onnx/NN_rul_full_window_40.onnx","vnnlib/robustness_4perturbations_delta40_epsilon10_w40.vnnlib",300,300,3.12,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0051__NN_rul_full_window_40__robustness_4perturbations_delta40_epsilon10_w40.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0051__NN_rul_full_window_40__robustness_4perturbations_delta40_epsilon10_w40.log"
52,"onnx/NN_rul_full_window_40.onnx","vnnlib/robustness_8perturbations_delta5_epsilon10_w40.vnnlib",120,120,3.43,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0052__NN_rul_full_window_40__robustness_8perturbations_delta5_epsilon10_w40.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0052__NN_rul_full_window_40__robustness_8perturbations_delta5_epsilon10_w40.log"
53,"onnx/NN_rul_full_window_40.onnx","vnnlib/robustness_8perturbations_delta10_epsilon10_w40.vnnlib",300,300,3.56,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0053__NN_rul_full_window_40__robustness_8perturbations_delta10_epsilon10_w40.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0053__NN_rul_full_window_40__robustness_8perturbations_delta10_epsilon10_w40.log"
54,"onnx/NN_rul_full_window_40.onnx","vnnlib/robustness_8perturbations_delta20_epsilon10_w40.vnnlib",300,300,3.50,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0054__NN_rul_full_window_40__robustness_8perturbations_delta20_epsilon10_w40.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0054__NN_rul_full_window_40__robustness_8perturbations_delta20_epsilon10_w40.log"
55,"onnx/NN_rul_full_window_40.onnx","vnnlib/robustness_8perturbations_delta40_epsilon10_w40.vnnlib",600,600,3.29,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0055__NN_rul_full_window_40__robustness_8perturbations_delta40_epsilon10_w40.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0055__NN_rul_full_window_40__robustness_8perturbations_delta40_epsilon10_w40.log"
56,"onnx/NN_rul_full_window_40.onnx","vnnlib/robustness_16perturbations_delta5_epsilon10_w40.vnnlib",300,300,3.48,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0056__NN_rul_full_window_40__robustness_16perturbations_delta5_epsilon10_w40.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0056__NN_rul_full_window_40__robustness_16perturbations_delta5_epsilon10_w40.log"
57,"onnx/NN_rul_full_window_40.onnx","vnnlib/robustness_16perturbations_delta10_epsilon10_w40.vnnlib",300,300,3.23,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0057__NN_rul_full_window_40__robustness_16perturbations_delta10_epsilon10_w40.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0057__NN_rul_full_window_40__robustness_16perturbations_delta10_epsilon10_w40.log"
58,"onnx/NN_rul_full_window_40.onnx","vnnlib/robustness_16perturbations_delta20_epsilon10_w40.vnnlib",600,600,3.17,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0058__NN_rul_full_window_40__robustness_16perturbations_delta20_epsilon10_w40.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0058__NN_rul_full_window_40__robustness_16perturbations_delta20_epsilon10_w40.log"
59,"onnx/NN_rul_full_window_40.onnx","vnnlib/robustness_16perturbations_delta40_epsilon10_w40.vnnlib",1200,1200,4.12,"unsat","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0059__NN_rul_full_window_40__robustness_16perturbations_delta40_epsilon10_w40.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0059__NN_rul_full_window_40__robustness_16perturbations_delta40_epsilon10_w40.log"
60,"onnx/NN_rul_full_window_40.onnx","vnnlib/monotonicity_CI_shift5_w40.vnnlib",120,120,3.18,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0060__NN_rul_full_window_40__monotonicity_CI_shift5_w40.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0060__NN_rul_full_window_40__monotonicity_CI_shift5_w40.log"
61,"onnx/NN_rul_full_window_40.onnx","vnnlib/monotonicity_CI_shift10_w40.vnnlib",300,300,3.38,"unknown","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0061__NN_rul_full_window_40__monotonicity_CI_shift10_w40.result","/data1/Kane/ACT/audit_results/cora_strict_20260526/collins_rul_cnn_2022/0061__NN_rul_full_window_40__monotonicity_CI_shift10_w40.log"
