Fri May 29 09:45:45 AM AEST 2026
=== HYB_Z parallel GPU-mid stream  gate>=25GB ===
    [gate-mid] cora_2024: 94 GB free >= 25 GB, proceeding
=== 09:45:45  [mid] bench=cora_2024  workers=1  gpu=0 ===
  [147/180]   60.6s  ./onnx/cifar10-set.onnx  vnnlib/cifar10-img206.vnnlib
  [148/180]   60.5s  ./onnx/cifar10-point.onnx  vnnlib/cifar10-img207.vnnlib
  [149/180]   60.6s  ./onnx/cifar10-trades.onnx  vnnlib/cifar10-img207.vnnlib
  [150/180]   60.9s  ./onnx/cifar10-set.onnx  vnnlib/cifar10-img207.vnnlib
  [151/180]   60.7s  ./onnx/cifar10-point.onnx  vnnlib/cifar10-img244.vnnlib
  [152/180]   60.7s  ./onnx/cifar10-trades.onnx  vnnlib/cifar10-img244.vnnlib
  [153/180]   60.6s  ./onnx/cifar10-set.onnx  vnnlib/cifar10-img244.vnnlib
  [154/180]   60.7s  ./onnx/cifar10-point.onnx  vnnlib/cifar10-img292.vnnlib
  [155/180]   60.6s  ./onnx/cifar10-trades.onnx  vnnlib/cifar10-img292.vnnlib
  [156/180]   60.6s  ./onnx/cifar10-set.onnx  vnnlib/cifar10-img292.vnnlib
  [157/180]   60.7s  ./onnx/cifar10-point.onnx  vnnlib/cifar10-img328.vnnlib
  [158/180]   60.7s  ./onnx/cifar10-trades.onnx  vnnlib/cifar10-img328.vnnlib
  [159/180]   60.6s  ./onnx/cifar10-set.onnx  vnnlib/cifar10-img328.vnnlib
  [160/180]   60.7s  ./onnx/cifar10-point.onnx  vnnlib/cifar10-img332.vnnlib
  [161/180]   60.7s  ./onnx/cifar10-trades.onnx  vnnlib/cifar10-img332.vnnlib
  [162/180]   60.6s  ./onnx/cifar10-set.onnx  vnnlib/cifar10-img332.vnnlib
  [163/180]   60.7s  ./onnx/cifar10-point.onnx  vnnlib/cifar10-img339.vnnlib
  [164/180]   60.7s  ./onnx/cifar10-trades.onnx  vnnlib/cifar10-img339.vnnlib
  [165/180]   60.6s  ./onnx/cifar10-set.onnx  vnnlib/cifar10-img339.vnnlib
  [166/180]   60.7s  ./onnx/cifar10-point.onnx  vnnlib/cifar10-img340.vnnlib
  [167/180]   60.6s  ./onnx/cifar10-trades.onnx  vnnlib/cifar10-img340.vnnlib
  [168/180]   60.6s  ./onnx/cifar10-set.onnx  vnnlib/cifar10-img340.vnnlib
  [169/180]   60.6s  ./onnx/cifar10-point.onnx  vnnlib/cifar10-img386.vnnlib
  [170/180]   60.6s  ./onnx/cifar10-trades.onnx  vnnlib/cifar10-img386.vnnlib
  [171/180]   57.7s  ./onnx/cifar10-set.onnx  vnnlib/cifar10-img386.vnnlib
  [172/180]   60.6s  ./onnx/cifar10-point.onnx  vnnlib/cifar10-img398.vnnlib
  [173/180]   60.6s  ./onnx/cifar10-trades.onnx  vnnlib/cifar10-img398.vnnlib
  [174/180]   60.5s  ./onnx/cifar10-set.onnx  vnnlib/cifar10-img398.vnnlib
  [175/180]   60.6s  ./onnx/cifar10-point.onnx  vnnlib/cifar10-img440.vnnlib
  [176/180]   60.6s  ./onnx/cifar10-trades.onnx  vnnlib/cifar10-img440.vnnlib
  [177/180]   60.6s  ./onnx/cifar10-set.onnx  vnnlib/cifar10-img440.vnnlib
  [178/180]   60.6s  ./onnx/cifar10-point.onnx  vnnlib/cifar10-img479.vnnlib
  [179/180]   60.6s  ./onnx/cifar10-trades.onnx  vnnlib/cifar10-img479.vnnlib
  [180/180]   45.5s  ./onnx/cifar10-set.onnx  vnnlib/cifar10-img479.vnnlib
[cora_2024] done in 10558s -> /data1/Kane/pyrat/results_pure_hybz/cora_2024/results.csv
    [gate-mid] malbeware: 71 GB free >= 25 GB, proceeding
=== 12:41:43  [mid] bench=malbeware  workers=1  gpu=0 ===
[malbeware] 150 instances, workers=1, gpu=0, out=/data1/Kane/pyrat/results_pure_hybz/malbeware/results.csv
  [1/150]    4.4s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Obfuscator.AD_label-17_eps-1_idx-89.vnnlib
  [2/150]    4.6s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-VB.AT_label-22_eps-3_idx-112.vnnlib
  [3/150]    4.7s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Allaple.A_label-2_eps-3_idx-11.vnnlib
  [4/150]    4.2s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Skintrim.N_label-19_eps-3_idx-96.vnnlib
  [5/150]    4.5s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Lolyda.AA1_label-12_eps-3_idx-64.vnnlib
  [6/150]    4.5s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Agent.FYI_label-1_eps-2_idx-8.vnnlib
  [7/150]    4.8s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Alueron.gen!J_label-4_eps-3_idx-21.vnnlib
  [8/150]    4.6s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Rbotigen_label-18_eps-2_idx-92.vnnlib
  [9/150]    4.8s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Yuner.A_label-24_eps-3_idx-120.vnnlib
  [10/150]    4.7s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Swizzor.gen!E_label-20_eps-3_idx-102.vnnlib
  [11/150]    4.5s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Lolyda.AA1_label-12_eps-3_idx-60.vnnlib
  [12/150]    4.8s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Skintrim.N_label-19_eps-1_idx-96.vnnlib
  [13/150]    5.6s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Fakerean_label-10_eps-3_idx-54.vnnlib
  [14/150]    5.4s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Allaple.L_label-3_eps-2_idx-16.vnnlib
  [15/150]    5.1s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Adialer.C_label-0_eps-1_idx-4.vnnlib
  [16/150]    5.8s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Wintrim.BX_label-23_eps-3_idx-119.vnnlib
  [17/150]    4.5s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Rbotigen_label-18_eps-2_idx-94.vnnlib
  [18/150]    4.5s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Obfuscator.AD_label-17_eps-2_idx-87.vnnlib
  [19/150]    4.6s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Lolyda.AA3_label-14_eps-1_idx-71.vnnlib
  [20/150]    4.8s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Malex.gen!J_label-16_eps-1_idx-84.vnnlib
  [21/150]    4.9s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Dontovo.A_label-9_eps-1_idx-48.vnnlib
  [22/150]    4.5s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Swizzor.gen!E_label-20_eps-3_idx-100.vnnlib
  [23/150]    4.5s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Wintrim.BX_label-23_eps-2_idx-117.vnnlib
  [24/150]    4.7s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Autorun.K_label-5_eps-1_idx-25.vnnlib
  [25/150]    4.1s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Lolyda.AA3_label-14_eps-3_idx-71.vnnlib
  [26/150]    4.5s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Agent.FYI_label-1_eps-3_idx-8.vnnlib
  [27/150]    4.4s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Allaple.A_label-2_eps-3_idx-12.vnnlib
  [28/150]    4.3s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Lolyda.AA2_label-13_eps-2_idx-68.vnnlib
  [29/150]    4.3s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Lolyda.AA2_label-13_eps-1_idx-66.vnnlib
  [30/150]    4.6s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Autorun.K_label-5_eps-2_idx-29.vnnlib
  [31/150]    4.4s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Lolyda.AT_label-15_eps-1_idx-79.vnnlib
  [32/150]    4.3s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-VB.AT_label-22_eps-2_idx-112.vnnlib
  [33/150]    4.4s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-C2LOP.P_label-6_eps-2_idx-30.vnnlib
  [34/150]    4.8s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Instantaccess_label-11_eps-2_idx-57.vnnlib
  [35/150]    4.5s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Dialplatform.B_label-8_eps-1_idx-40.vnnlib
  [36/150]    4.7s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Malex.gen!J_label-16_eps-3_idx-82.vnnlib
  [37/150]    4.8s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Autorun.K_label-5_eps-1_idx-27.vnnlib
  [38/150]    4.4s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Allaple.L_label-3_eps-3_idx-16.vnnlib
  [39/150]    3.9s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Allaple.L_label-3_eps-1_idx-18.vnnlib
  [40/150]    5.2s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Swizzor.gen!E_label-20_eps-2_idx-104.vnnlib
  [41/150]    5.1s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-VB.AT_label-22_eps-3_idx-111.vnnlib
  [42/150]    4.9s  onnx/malware_malimg_family_scaled_linear-25.onnx  vnnlib/malbeware_family-Rbotigen_label-18_eps-2_idx-93.vnnlib
